bhid,from,to,lith,weath
LK090,327.4,337.2,,FRESH
LK090,337.2,338.8,TQ7,FRESH
LK090,338.8,344.4,,FRESH
LK090,344.4,384.1,TQ7,FRESH
LK090,384.1,391.7,,FRESH
LK091,0,30.856,,OXIDE
LK091,30.856,174.2,,FRESH
LK091,174.2,176.1,TQ4,FRESH
LK091,176.1,448.5,,FRESH
LK091,448.5,449.4,TQ3,FRESH
LK091,449.4,455.3,,FRESH
LK091,455.3,492.3,TQ3,FRESH
LK091,492.3,500,,FRESH
LK091,500,505,TQ3,FRESH
LK091,505,507.2,,FRESH
LK110,0,41.2,,OXIDE
LK110,41.2,264.5,,FRESH
LK110,264.5,266.2,TQ1,FRESH
LK110,266.2,276.8,,FRESH
LK111,0,25.383,,OXIDE
LK111,25.383,123.7,,FRESH
LK111,123.7,132.4,TQ8,FRESH
LK111,132.4,134.6,,FRESH
LK131,0,37.438,,OXIDE
LK131,37.438,456.3,,FRESH
LK134,0,26.078,,OXIDE
LK134,26.078,157.3,,FRESH
LK134,158.7,170.9,,FRESH
LK134,170.9,177.6,TQ8,FRESH
LK134,177.6,196,,FRESH
LK134,196,199.2,TQ9,FRESH
LK134,199.2,228,,FRESH
LK142,0,22.54,,OXIDE
LK142,22.54,178.1,,FRESH
LK143,0,12,,OXIDE
LK143,12,23.555,TQ1,OXIDE
LK143,23.555,40.7,TQ1,FRESH
LK143,40.7,81.2,,FRESH
LK143,81.2,85.2,TQ3,FRESH
LK143,85.2,89,,FRESH
LK143,89,92,TQ3,FRESH
LK143,92,94.3,,FRESH
LK143,94.3,97.1,TQ3,FRESH
LK143,97.1,104.6,,FRESH
LK143,104.6,110.9,TQ3,FRESH
LK143,110.9,225,,FRESH
LK143,225,226.8,TQ7,FRESH
LK143,226.8,431.7,,FRESH
LK146,0,31.008,,OXIDE
LK146,31.008,246,,FRESH
LK146,246,271.9,TQ7,FRESH
LK146,271.9,372.8,,FRESH
LK146,372.8,376.3,TQ8,FRESH
LK146,376.3,387,,FRESH
LK147,0,27.778,,OXIDE
LK147,27.778,116.5,,FRESH
LK151,0,30.616,,OXIDE
LK151,30.616,35.8,,FRESH
LK151,35.8,38.1,TQ9,FRESH
LK151,38.1,102.5,,FRESH
LK151,102.5,106,TQ10,FRESH
LK151,106,242.2,,FRESH
LK151,242.2,259.399,TQ13,FRESH
LK152,0,22.008,,OXIDE
LK152,22.008,129.3,,FRESH
LK152,129.3,137.8,TQ9,FRESH
LK152,137.8,143,,FRESH
LK152,143,146.9,TQ9,FRESH
LK152,146.9,289.3,,FRESH
LK152,289.3,290.8,TQ13,FRESH
LK152,290.8,305.5,,FRESH
LK154,0,27.416,,OXIDE
LK154,27.416,79,,FRESH
LK154,79,101.2,TQ7,FRESH
LK154,101.2,138.3,,FRESH
LK154,138.3,168.2,TQ7,FRESH
LK154,168.2,307.4,,FRESH
LK154,307.4,309.5,TQ9,FRESH
LK154,309.5,440.1,,FRESH
LK154,440.1,444,TQ11,FRESH
LK154,444,484.4,,FRESH
LK156,0,29.376,,OXIDE
LK156,29.376,149.2,,FRESH
LK156,149.2,176.7,TQ9,FRESH
LK156,176.7,212.2,,FRESH
LK156,212.2,213.8,TQ10,FRESH
LK156,213.8,239.9,,FRESH
LK156,239.9,241.6,TQ11,FRESH
LK156,241.6,265.6,,FRESH
LK157,0,22.711,,OXIDE
LK157,22.711,133.9,,FRESH
LK157,133.9,138.4,TQ3,FRESH
LK157,138.4,149,,FRESH
LK157,149,169.2,TQ3,FRESH
LK157,169.2,176.3,,FRESH
LK157,176.3,227.5,TQ3,FRESH
LK157,227.5,238.9,,FRESH
LK157,238.9,266.1,TQ3,FRESH
LK157,266.1,356.1,,FRESH
LK157,356.1,358.7,TQ7,FRESH
LK157,358.7,360,,FRESH
LK157,360,375.4,TQ7,FRESH
LK157,375.4,380.7,,FRESH
LK157,380.7,384.7,TQ7,FRESH
LK157,384.7,479.8,,FRESH
LK157,479.8,481.2,TQ10,FRESH
LK157,481.2,485.6,,FRESH
LK157,485.6,493,TQ10,FRESH
LK159,0,28.851,,OXIDE
LK159,28.851,119.3,,FRESH
LK159,119.3,121.6,TQ7,FRESH
LK159,121.6,178.1,,FRESH
LK159,178.1,188.2,TQ8,FRESH
LK159,188.2,259,,FRESH
LK159,259,269.7,TQ9,FRESH
LK159,269.7,273.4,,FRESH
LK169,0,29.526,,OXIDE
LK169,29.526,327.7,,FRESH
LK170,0,30.767,,OXIDE
LK170,30.767,71.1,,FRESH
LK170,71.1,133.4,TQ11,FRESH
LK170,133.4,193,,FRESH
LK170,193,197.4,TQ12,FRESH
LK170,197.4,200.7,,FRESH
LK174,0,25.783,,OXIDE
LK174,25.783,396.6,,FRESH
LK174,396.6,400.9,TQ3,FRESH
LK174,400.9,402.7,,FRESH
LK174,402.7,412.4,TQ3,FRESH
LK174,412.4,417.1,,FRESH
LK174,417.1,458.9,TQ3,FRESH
LK174,458.9,464.4,,FRESH
LK174,464.4,477.1,TQ3,FRESH
LK174,477.1,481.7,,FRESH
LK174,481.7,511.8,TQ3,FRESH
LK174,511.8,513.2,,FRESH
LK177,0,35.958,,OXIDE
LK177,35.958,36.227,,FRESH
LK177,36.227,40.525,,OXIDE
LK177,40.525,55.6,,FRESH
LK177,55.6,66,TQ2,FRESH
LK177,66,67.1,,FRESH
LK177,67.1,72.1,TQ2,FRESH
LK177,72.1,112.3,,FRESH
LK177,112.3,114.2,TQ1,FRESH
LK177,114.2,117.2,,FRESH
LK177,117.2,132.7,TQ1,FRESH
LK177,132.7,151.1,,FRESH
LK177,151.1,168.7,TQ1a,FRESH
LK177,168.7,219.3,,FRESH
LK177,219.3,221.2,TQ7,FRESH
LK177,221.2,224.5,,FRESH
